control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
1747800000	1943800000	1888500000	2128600000	2297300000	2428700000	1772800000	2065400000	2278500000	Q96SI9;Q96SI9-2	Spermatid perinuclear RNA-binding protein	STRBP
57912000	91772000	96876000	132370000	145840000	1.56e+08	109400000	129300000	132560000	Q96SK2;Q96SK2-3;Q96SK2-2	Transmembrane protein 209	TMEM209
651260000	613600000	670080000	749940000	872630000	805660000	661140000	734680000	775050000	Q96SN8-2;Q96SN8;Q96SN8-4;Q96SN8-3;B1AMJ5;E9PCD3	CDK5 regulatory subunit-associated protein 2	CDK5RAP2
2440800000	1942400000	2323600000	1833800000	2010500000	2040600000	2194200000	1.984e+09	1882700000	Q96ST3	Paired amphipathic helix protein Sin3a	SIN3A
701540000	419010000	536820000	342150000	400360000	371050000	422620000	410870000	360760000	Q96SZ5	2-aminoethanethiol dioxygenase	ADO
229490000	280300000	294790000	99557000	200290000	200970000	255060000	208930000	257610000	Q96SZ6;Q96SZ6-3;Q96SZ6-2;Q675N4;Q96SZ6-4;H0Y721	CDK5 regulatory subunit-associated protein 1	CDK5RAP1
1118900000	980320000	957650000	2186700000	2254600000	2078100000	1495600000	1393200000	1336500000	Q96T17-2;Q96T17;B7Z3S7;C9JYW0;F5GYC2	MAP7 domain-containing protein 2	MAP7D2
416130000	581640000	708860000	602480000	686050000	626820000	710050000	648770000	758840000	Q96T23;Q96T23-2;H0YER1;Q96T23-3;H0YCN2	Remodeling and spacing factor 1	RSF1
1518100000	1228400000	1064700000	1019600000	1068900000	1.142e+09	1232400000	1379900000	1272400000	Q96T37;Q96T37-2;Q96T37-3	Putative RNA-binding protein 15	RBM15
1230200000	1060200000	953100000	1096900000	1200200000	1136600000	1278400000	1053500000	1102300000	Q96T51;Q96T51-2;Q96T51-3;H0YA47	RUN and FYVE domain-containing protein 1	RUFY1
153730000	145720000	98389000	169300000	103130000	130220000	64751000	79175000	76855000	Q96T52;Q96T52-2;C9JVB0;C9JQE1	Mitochondrial inner membrane protease subunit 2	IMMP2L
794810000	810570000	823980000	1178800000	1006900000	1176500000	805800000	1007900000	826980000	Q96T58	Msx2-interacting protein	SPEN
839190000	591770000	700480000	517970000	749920000	693980000	723890000	875800000	864680000	Q96T60	Bifunctional polynucleotide phosphatase/kinase;Polynucleotide 3-phosphatase;Polynucleotide 5-hydroxyl-kinase	PNKP
1.2249e+10	1.1832e+10	1.0891e+10	7167700000	7050400000	7377800000	1.0834e+10	9817100000	1.1165e+10	Q96TA1;Q96TA1-2	Niban-like protein 1	FAM129B
339380000	603860000	522640000	599730000	608620000	699190000	684240000	876610000	741140000	Q96TC7;F8WAH7;H0YMB1;Q96TC7-2	Regulator of microtubule dynamics protein 3	RMDN3
1296900000	1627100000	1503900000	1156800000	1473600000	1596700000	1625800000	1248200000	1626800000	Q99417	C-Myc-binding protein	MYCBP
3645800000	4350700000	3387200000	5612400000	5524200000	5774200000	5154100000	4449800000	4495100000	Q99426;A8MVD5	Tubulin-folding cofactor B	TBCB
2794200000	3288900000	3699200000	3.385e+09	3060400000	3164100000	3165200000	3241400000	3563500000	Q99436	Proteasome subunit beta type-7	PSMB7
3020300000	2929900000	3028300000	2847800000	3209400000	3871200000	3.001e+09	2877200000	2555100000	Q99439;E7ENR3;A6NFI4	Calponin-2	CNN2
1361100000	1086600000	1503900000	1482500000	1217300000	1.046e+09	1034900000	1262600000	1084500000	Q99442;F8WF48;F8WCJ7;F5H501	Translocation protein SEC62	SEC62
4404500000	3910100000	4173400000	5021900000	4685300000	4932200000	5223700000	5275700000	5002400000	Q99459;E7EUB4	Cell division cycle 5-like protein	CDC5L
1.1737e+10	1.19e+10	1.0225e+10	1.131e+10	9683500000	1.1705e+10	1.0518e+10	1.0885e+10	1.0438e+10	Q99460;Q99460-2	26S proteasome non-ATPase regulatory subunit 1	PSMD1
1175800000	453900000	344110000	96146000	76877000	33442000	68452000	27991000	84382000	Q99470	Stromal cell-derived factor 2	SDF2
1549200000	2517300000	2284200000	2545600000	2.814e+09	2258600000	1939600000	2177500000	1966500000	Q99471;Q9C083	Prefoldin subunit 5	PFDN5
221890000	291060000	350380000	284730000	209970000	281660000	287980000	326830000	273580000	Q99496;B3KRH1	E3 ubiquitin-protein ligase RING2	RNF2
2.9866e+10	3.495e+10	3.3061e+10	3.8798e+10	3.3004e+10	3.6707e+10	4.1486e+10	4.2247e+10	4.4109e+10	Q99497	Protein DJ-1	PARK7
46401000	223270000	276720000	10350000	13636000	14111000	12279000	13456000	9942500	Q99519;E9PIF4	Sialidase-1	NEU1
157290000	191590000	126770000	29759000	32915000	21207000	19906000	23598000	29041000	Q99523;B4DWI3	Sortilin	SORT1
3776900000	4177400000	3602100000	4527700000	4420700000	4483800000	2911100000	2765500000	2542300000	Q99536;B3KUF8;B0AZP7	Synaptic vesicle membrane protein VAT-1 homolog	VAT1
1.386e+09	1330100000	1615200000	1.628e+09	1551300000	1372800000	1631900000	1514900000	1431300000	Q99543;Q99543-2	DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed	DNAJC2
521360000	370130000	421330000	430990000	554340000	570140000	671150000	606810000	586720000	Q99547	M-phase phosphoprotein 6	MPHOSPH6
776430000	686140000	662980000	826210000	613750000	7.94e+08	668960000	880900000	781990000	Q99549;Q99549-2;F5H8H9	M-phase phosphoprotein 8	MPHOSPH8
3079700000	2824400000	2681800000	3676900000	3332400000	3531900000	3295200000	3254300000	3130800000	Q99567;B4DP20	Nuclear pore complex protein Nup88	NUP88
88084000	48360000	45869000	93965000	96449000	116560000	49833000	54291000	61036000	Q99569;Q99569-2	Plakophilin-4	PKP4
6.87e+08	683030000	523800000	738190000	803070000	731460000	541240000	533790000	499100000	Q99570	Phosphoinositide 3-kinase regulatory subunit 4	PIK3R4
67760000	56537000	57932000	37482000	58675000	54672000	50677000	54801000	76601000	Q99574;C9J6F7;C9JQU8;C9JDY5	Neuroserpin	SERPINI1
2620500000	2132100000	2327400000	2.238e+09	2456500000	2339200000	1758300000	1952600000	1812600000	Q99575	Ribonucleases P/MRP protein subunit POP1	POP1
42915000	71937000	68193000	84463000	66577000	48470000	38854000	45122000	49926000	Q99583	Max-binding protein MNT	MNT
2321400000	3083300000	2871800000	3477900000	2871800000	3351200000	2764500000	2776400000	3111100000	Q99584	Protein S100-A13	S100A13
1.239e+09	1433100000	1342800000	1263500000	1299900000	1250500000	1240900000	1094100000	1119600000	Q99598;Q5VVQ1	Translin-associated protein X	TSNAX
1.3284e+10	1.251e+10	1.3148e+10	1.0931e+10	1.1879e+10	1.1129e+10	1.1558e+10	1.2167e+10	1.3071e+10	Q99613;B4DVQ5;B5ME19;B4DVU3;B4DDN4;B4DRU0;F5H1I1;F5H4V1;C9J1F3;F5GZC5;C9JJ55;F5GZ22	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL
3903500000	3920500000	3646500000	4087200000	3751900000	4.151e+09	4698200000	4600900000	4520900000	Q99615;Q7Z784	DnaJ homolog subfamily C member 7	DNAJC7
411080000	483040000	444130000	474170000	474530000	417060000	461960000	532490000	490320000	Q99622;F5GXW5	Protein C10	C12orf57
9357600000	8917200000	7.931e+09	7094300000	7166600000	7.732e+09	8562300000	9267300000	8843800000	Q99623;B4DP75;F5GY37;B4DW05;F5GWA7;F5H3X6	Prohibitin-2	PHB2
1234500000	1074400000	1016700000	1065100000	1135500000	1031200000	1221700000	1262200000	1160300000	Q99627;E9PGT6;B8ZZP3;A8K1H6	COP9 signalosome complex subunit 8	COPS8
239060000	264400000	232720000	241890000	241400000	1.83e+08	240810000	230850000	285800000	Q99633;Q5T9P7	Pre-mRNA-splicing factor 18	PRPF18
62814000	186250000	190580000	187020000	140360000	165840000	282290000	192130000	232940000	Q99643;D6RBX6;Q99643-5;Q99643-3;Q99643-2	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	SDHC
742430000	1250400000	751580000	1582500000	1216200000	1311400000	806910000	1060100000	1222500000	Q99653;H0YKE7;F5GX29;H0YNG9	Calcineurin B homologous protein 1	CHP1
1.797e+09	1369700000	1.526e+09	1795600000	1833200000	1711200000	1462500000	1623900000	1576200000	Q99707;B4DST3;B7ZLW7;B1ANE3	Methionine synthase	MTR
1.3075e+10	1.4518e+10	1.2329e+10	1.5254e+10	1.6078e+10	1.6907e+10	1.8046e+10	1.692e+10	1.5223e+10	Q99714;Q99714-2;Q5H928	3-hydroxyacyl-CoA dehydrogenase type-2	HSD17B10
134120000	131510000	214450000	120160000	122750000	119070000	121880000	164230000	134180000	Q99728;E7EUI3	BRCA1-associated RING domain protein 1	BARD1
1671700000	997100000	1321900000	1344400000	1518700000	1229500000	1152500000	1586800000	1417300000	Q99747;B4DFC9	Gamma-soluble NSF attachment protein	NAPG
1224300000	961950000	988910000	1010100000	800230000	685640000	793430000	717660000	1.12e+09	Q99757;F8WDN2	Thioredoxin, mitochondrial	TXN2
56364000	27461000	44747000	96109000	104660000	130340000	107660000	127500000	130990000	Q99766	ATP synthase subunit s, mitochondrial	ATP5S
1947800000	1117800000	1269700000	1192800000	1082500000	1.253e+09	1165300000	1529600000	1577500000	Q99797	Mitochondrial intermediate peptidase	MIPEP
7267500000	1.0286e+10	9672300000	1.0708e+10	1.1383e+10	1.1426e+10	1.0897e+10	1.0729e+10	1.072e+10	Q99798;A2A274;F5H2A5;B4DEC3;B4DW08	Aconitate hydratase, mitochondrial	ACO2
1.129e+09	1.275e+09	1270800000	891820000	888780000	939430000	714760000	677300000	803240000	Q99805;E9PHW5	Transmembrane 9 superfamily member 2	TM9SF2
4102500000	4324800000	4048300000	4166600000	4984500000	4356100000	4790800000	3633200000	4679400000	Q99829;F2Z2V0;A6PVH9;Q5JX44;E7ENH5;Q5JX58;Q5JX59;Q5JX60;Q5JX56;Q5JX52;Q5JX45;Q5JX61;Q5JX55	Copine-1	CPNE1
2.5036e+10	2.2488e+10	2.3755e+10	2.294e+10	2.3899e+10	2.3089e+10	2.4205e+10	2.7452e+10	2.6559e+10	Q99832;B8ZZC9;B7Z4T9;F5GZK5;B7Z4Z7;B7Z1C9;A8MWI8	T-complex protein 1 subunit eta	CCT7
4049700000	3953600000	4483900000	4686500000	4947200000	5538700000	4857600000	4766200000	4996300000	Q99848	Probable rRNA-processing protein EBP2	EBNA1BP2
3.146e+09	2478900000	3940900000	2803700000	2494500000	1056600000	2318300000	2228500000	3830900000	Q99880	Histone H2B type 1-L	HIST1H2BL
8.18e+08	769610000	594500000	1534600000	1426500000	1567800000	1116400000	1.108e+09	938660000	Q99933;Q99933-4;Q99933-3;E2QRM7;Q99933-2;C9JYK5	BAG family molecular chaperone regulator 1	BAG1
557180000	579130000	790940000	179610000	197120000	149710000	452300000	356580000	405970000	Q99958	Forkhead box protein C2	FOXC2
1531900000	1849700000	1689600000	3116400000	2216200000	2523600000	2031600000	1860900000	2196400000	Q99961;E7EVZ4	Endophilin-A2	SH3GL1
356740000	438600000	482910000	654140000	803660000	593470000	600050000	582290000	824890000	Q99962;F5H5J3;E7EML4	Endophilin-A1	SH3GL2
2321200000	2384300000	2458900000	1461200000	2.116e+09	1552100000	2466700000	2.414e+09	2438500000	Q99986;H0YJ50	Serine/threonine-protein kinase VRK1	VRK1
123120000	125320000	170410000	85612000	76485000	70488000	170600000	169890000	185860000	Q99988	Growth/differentiation factor 15	GDF15
2116200000	1849900000	1884800000	1678600000	1435900000	1481800000	1737300000	1.777e+09	1515100000	Q9BPW8	Protein NipSnap homolog 1	NIPSNAP1
2873600000	2124500000	2307100000	2266100000	2276600000	2400500000	2771700000	2772500000	2690400000	Q9BPX3	Condensin complex subunit 3	NCAPG
3186400000	3331300000	3493900000	4398900000	3951700000	4522300000	3703900000	2931500000	3827700000	Q9BPX5	Actin-related protein 2/3 complex subunit 5-like protein	ARPC5L
93385000	48216000	47491000	56221000	78186000	68235000	68745000	49399000	77161000	Q9BPX7	UPF0415 protein C7orf25	C7orf25
727180000	529810000	482410000	654940000	543780000	540450000	473970000	542550000	420640000	Q9BPZ7;Q9BPZ7-3;Q9BPZ7-2;B1AMA5;Q9BPZ7-5;Q9BPZ7-4;Q9BPZ7-6;B1AMA6;E9PGB8	Target of rapamycin complex 2 subunit MAPKAP1	MAPKAP1
129440000	105090000	124180000	90056000	103200000	99343000	119210000	93415000	109870000	Q9BQ04;E9PLB0;E9PM61	RNA-binding protein 4B	RBM4B
222840000	149930000	261210000	238230000	259110000	187020000	233540000	200130000	319030000	Q9BQ61	Uncharacterized protein C19orf43	C19orf43
1536500000	1761200000	1552300000	2438900000	2570300000	2578800000	1935300000	2306800000	1983100000	Q9BQ67;E7EX09	Glutamate-rich WD repeat-containing protein 1	GRWD1
3061900000	2584800000	3112900000	2416300000	2623300000	2476900000	3852300000	2.989e+09	3925700000	Q9BQ69	O-acetyl-ADP-ribose deacetylase MACROD1	MACROD1
934340000	861580000	943750000	677490000	673100000	730640000	701320000	626160000	601640000	Q9BQ70	Transcription factor 25	TCF25
164540000	167730000	152180000	237630000	242970000	248880000	189560000	234040000	223050000	Q9BQ95;Q9BQ95-2	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	ECSIT
348020000	278570000	194470000	295230000	305410000	229810000	182770000	144750000	195040000	Q9BQC3;A8MVC9;B4DNI8	Diphthamide biosynthesis protein 2	DPH2
172810000	76127000	103570000	88487000	97881000	107050000	95694000	124780000	95132000	Q9BQC6	Ribosomal protein 63, mitochondrial	MRPL57
19338000	25310000	23215000	30038000	27428000	39714000	38075000	42460000	44286000	Q9BQD3	KxDL motif-containing protein 1	KXD1
207750000	257560000	271290000	220210000	249100000	205190000	129030000	158570000	183370000	Q9BQE5;E9PM95	Apolipoprotein L2	APOL2
1.123e+10	1.1936e+10	1.3076e+10	1.191e+10	1.1965e+10	1.272e+10	1.2711e+10	1.2331e+10	1.2764e+10	Q9BQG0;Q9BQG0-2	Myb-binding protein 1A	MYBBP1A
218490000	147420000	134430000	74846000	105890000	82869000	94118000	143480000	176250000	Q9BQG2;E7EM93	Peroxisomal NADH pyrophosphatase NUDT12	NUDT12
549950000	306590000	385640000	316280000	346720000	288210000	301380000	373710000	310240000	Q9BQP7;Q5QPE8	Mitochondrial genome maintenance exonuclease 1	MGME1
37922000	30473000	47573000	88957000	93305000	179510000	193840000	76506000	129560000	Q9BR39;Q9BR39-2	Junctophilin-2	JPH2
244850000	218010000	190270000	253430000	225750000	169270000	175380000	182970000	258180000	Q9BR61	Acyl-CoA-binding domain-containing protein 6	ACBD6
1994800000	1859300000	2163200000	1897300000	1762500000	2001200000	1915400000	2021700000	1.821e+09	Q9BR76;F5H390;H0Y3L6;E7EW44	Coronin-1B;Coronin	CORO1B
8.133e+09	6519700000	7514100000	6671800000	6920300000	7257900000	6565400000	8116300000	7153200000	Q9BRA2	Thioredoxin domain-containing protein 17	TXNDC17
2969500000	2459200000	2495100000	3403900000	3011400000	4030400000	2613700000	2770900000	2443500000	Q9BRF8;Q9BRF8-2	Serine/threonine-protein phosphatase CPPED1	CPPED1
853910000	952080000	807050000	812590000	668040000	612160000	1273700000	1102700000	1249500000	Q9BRG1	Vacuolar protein-sorting-associated protein 25	VPS25
1.096e+09	1071200000	842670000	812530000	799670000	833890000	873060000	838460000	735280000	Q9BRJ2	39S ribosomal protein L45, mitochondrial	MRPL45
2219200000	2252500000	2653300000	2374300000	2478500000	2552500000	2446200000	2020500000	1882600000	Q9BRJ6;C9JQV0	Uncharacterized protein C7orf50	C7orf50
1575400000	1415200000	1737600000	483130000	462130000	439850000	427640000	351800000	337190000	Q9BRK5;Q9BRK5-6;G3V1E2;Q9BRK5-4;Q9BRK5-3;H0Y3T6;Q9BRK5-2	45 kDa calcium-binding protein	SDF4
149200000	125410000	160500000	115340000	83430000	83160000	153730000	126450000	81703000	Q9BRL6;Q9BRL6-2	Serine/arginine-rich splicing factor 8	SRSF8
135610000	137560000	134830000	161490000	122160000	143870000	181540000	185990000	172500000	Q9BRP1	Programmed cell death protein 2-like	PDCD2L
530990000	403600000	389930000	404700000	409990000	388990000	297260000	410620000	448700000	Q9BRP4;F5H3I1;F5H0C4;Q9BRP4-2;F5H103	Proteasomal ATPase-associated factor 1	PAAF1
452090000	406230000	564750000	339230000	340720000	417950000	477160000	464680000	390790000	Q9BRP8;Q9BRP8-2	Partner of Y14 and mago	WIBG
196760000	2.15e+08	201400000	314350000	330080000	376330000	297040000	254920000	310850000	Q9BRQ8;C9JI05;Q9BRQ8-2	Apoptosis-inducing factor 2	AIFM2
122120000	112650000	109250000	170290000	137460000	117080000	124260000	138350000	135910000	Q9BRS2	Serine/threonine-protein kinase RIO1	RIOK1
266120000	1.96e+08	266370000	300450000	280890000	322520000	363590000	288200000	287300000	Q9BRT2;Q5TAQ0	Ubiquinol-cytochrome-c reductase complex assembly factor 2	UQCC2
517450000	268080000	303760000	248340000	271820000	379450000	243110000	346200000	292660000	Q9BRT3	Migration and invasion enhancer 1	MIEN1
424930000	174020000	336220000	204690000	225570000	170250000	328790000	239290000	160280000	Q9BRT6	Protein LLP homolog	LLPH
434210000	327040000	290160000	389690000	459420000	468930000	405610000	390960000	397320000	Q9BRT9;E5RFF9	DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed	GINS4
2084700000	1753900000	2371300000	1894900000	2164700000	1669200000	1403100000	1569700000	1713900000	Q9BRX2	Protein pelota homolog	PELO
600640000	564990000	546760000	661160000	613330000	615740000	679390000	607280000	773560000	Q9BRX5;E9PB21;Q9BRX5-2	DNA replication complex GINS protein PSF3	GINS3
292410000	374450000	238650000	404880000	612300000	562280000	343180000	385450000	526600000	Q9BRX8;Q9BRX8-2	Redox-regulatory protein FAM213A	FAM213A
423060000	324640000	306830000	271020000	344180000	326700000	364890000	303880000	373370000	Q9BRZ2;C9JI91;Q9BRZ2-2;Q9BRZ2-3	E3 ubiquitin-protein ligase TRIM56	TRIM56
2650400000	2433800000	2.197e+09	1039400000	1109200000	1163400000	862030000	761890000	861280000	Q9BS26	Endoplasmic reticulum resident protein 44	ERP44
31326000	125500000	107070000	166260000	114100000	128030000	137330000	135820000	176460000	Q9BS40	Latexin	LXN
26188000	20447000	35597000	24261000	14932000	13787000	28294000	28407000	37320000	Q9BSE4	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	HERPUD2
379700000	433410000	387680000	476820000	430590000	378380000	443240000	547670000	552490000	Q9BSE5	Agmatinase, mitochondrial	AGMAT
73539000	175030000	66063000	92653000	71419000	65325000	85971000	77626000	71517000	Q9BSF4	Uncharacterized protein C19orf52	C19orf52
1.513e+09	1636600000	1896400000	2100900000	2105900000	1871400000	1998500000	1953100000	2565500000	Q9BSH4	Translational activator of cytochrome c oxidase 1	TACO1
173240000	143460000	88335000	200610000	152100000	207470000	188310000	149810000	303450000	Q9BSH5	Haloacid dehalogenase-like hydrolase domain-containing protein 3	HDHD3
5041500000	4262200000	4991900000	4967100000	4951600000	4.817e+09	4640700000	4866700000	5017100000	Q9BSJ8;Q9BSJ8-2;B3KY56	Extended synaptotagmin-1	ESYT1
399680000	264190000	478620000	298700000	340040000	302550000	304280000	370470000	364260000	Q9BSL1	Ubiquitin-associated domain-containing protein 1	UBAC1
456820000	4.22e+08	496660000	379850000	540490000	474460000	420730000	379910000	372020000	Q9BSV6;B0V3J0;A9C4B9;E7EQB3	tRNA-splicing endonuclease subunit Sen34	TSEN34
11868000	19407000	10512000	10080000	23988000	29199000	25198000	25115000	31830000	Q9BT67;Q9BT67-2	NEDD4 family-interacting protein 1	NDFIP1
922580000	887010000	834240000	941440000	908560000	925920000	940940000	881720000	942540000	Q9BT73	Proteasome assembly chaperone 3	PSMG3
7763900000	8069100000	6100500000	7582200000	7753200000	7345500000	6773300000	7651900000	8857200000	Q9BT78;D6RFN0;D6RAX7;B3KST5;D6RD63	COP9 signalosome complex subunit 4	COPS4
655900000	619200000	680130000	393350000	441980000	380140000	687320000	776800000	693270000	Q9BTA9;Q9BTA9-5;Q9BTA9-2	WW domain-containing adapter protein with coiled-coil	WAC
2585100000	3.07e+09	2494500000	3039500000	2429900000	2911800000	2894900000	2871100000	2780100000	Q9BTC0;Q9BTC0-1	Death-inducer obliterator 1	DIDO1
857590000	836020000	935040000	951100000	1053400000	1078300000	903440000	948160000	924780000	Q9BTD8;Q9BTD8-4;Q9BTD8-2;Q9BTD8-3	RNA-binding protein 42	RBM42
106290000	82515000	72789000	99841000	141040000	134910000	80536000	84749000	113790000	Q9BTE1	Dynactin subunit 5	DCTN5
2343900000	2615200000	2673100000	3767500000	3616100000	3624300000	2714500000	2830100000	3046700000	Q9BTE3;Q9BTE3-2;Q9BTE3-3	Mini-chromosome maintenance complex-binding protein	MCMBP
1407400000	958800000	741740000	1023500000	952070000	1011600000	1024900000	1075600000	1146600000	Q9BTE6;Q9BTE6-2;C9J5N1;B4DI73	Alanyl-tRNA editing protein Aarsd1	AARSD1;PTGES3L-AARSD1
388330000	481520000	426260000	328620000	409740000	278090000	376070000	427240000	461260000	Q9BTE7;E9PM04;H0YCN4	DCN1-like protein 5;DCN1-like protein	DCUN1D5
2071400000	3.702e+09	2885900000	2859300000	3200900000	2.482e+09	4836100000	2.994e+09	3551400000	Q9BTT0;Q5TB19;E9PLC4;E9PEA6	Acidic leucine-rich nuclear phosphoprotein 32 family member E	ANP32E
260010000	218750000	166310000	220160000	364980000	331960000	174160000	239680000	249200000	Q9BTT4	Mediator of RNA polymerase II transcription subunit 10	MED10
2836700000	2690600000	2348200000	1431600000	1524100000	1785300000	968640000	772060000	818150000	Q9BTV4	Transmembrane protein 43	TMEM43
1693700000	1890500000	1759400000	2.278e+09	2.133e+09	2108700000	1642400000	1431700000	1450500000	Q9BTW9;Q9BTW9-4;F5H8C7;F8WC00;Q9BTW9-5	Tubulin-specific chaperone D	TBCD
1.52e+08	375840000	208450000	348260000	294620000	3.62e+08	279950000	343140000	356430000	Q9BTX7;Q5QPC2	Alpha-tocopherol transfer protein-like	TTPAL
207610000	188820000	242670000	109620000	190860000	103850000	152350000	125400000	114610000	Q9BTY2;Q7Z6V2;Q7Z6V1	Plasma alpha-L-fucosidase	FUCA2
297210000	265330000	272080000	147360000	124420000	135500000	250770000	309750000	249270000	Q9BTZ2;E2QRL8;Q9BTZ2-4;F5GWZ1;Q9BTZ2-7;Q9BTZ2-2	Dehydrogenase/reductase SDR family member 4	DHRS4
169330000	234870000	336110000	259620000	399240000	362180000	450680000	258600000	435960000	Q9BU76;Q9BU76-3;Q9BU76-4;Q9BU76-2	Multiple myeloma tumor-associated protein 2	MMTAG2
109790000	96012000	80886000	101140000	135680000	117910000	133700000	108710000	144070000	Q9BUA3	Uncharacterized protein C11orf84	C11orf84
143930000	72473000	93251000	34298000	69291000	48781000	79043000	67558000	71369000	Q9BUB5;Q9BUB5-2;Q9BUB5-3;E9PJH1;E9PIA0;F5H5A0;Q7Z319	MAP kinase-interacting serine/threonine-protein kinase 1	MKNK1;DKFZp686E14208
345870000	295730000	323600000	683200000	329020000	558040000	328060000	220980000	334720000	Q9BUB7;Q9BUB7-2	Transmembrane protein 70, mitochondrial	TMEM70
224640000	212570000	185990000	142600000	155540000	100350000	121940000	140560000	137270000	Q9BUE0	Mediator of RNA polymerase II transcription subunit 18	MED18
62514000	68339000	71257000	90440000	114850000	229780000	57989000	71506000	40258000	Q9BUE6	Iron-sulfur cluster assembly 1 homolog, mitochondrial	ISCA1
795550000	1018700000	970600000	1028700000	1249500000	1021800000	965180000	998740000	1049600000	Q9BUF5;B4DP54;B3KS31	Tubulin beta-6 chain	TUBB6
452670000	448610000	301140000	444870000	464160000	455480000	353560000	327180000	379460000	Q9BUH6	Uncharacterized protein C9orf142	C9orf142
294130000	209620000	249700000	202820000	190350000	128780000	226430000	150140000	279490000	Q9BUI4;E9PHH9	DNA-directed RNA polymerase III subunit RPC3	POLR3C
68690000	92429000	52877000	112980000	62786000	118450000	51606000	88476000	69546000	Q9BUJ2;Q9BUJ2-2;B7Z4B8;Q9BUJ2-3	Heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRNPUL1
7358500000	7.099e+09	6997600000	7384100000	7594200000	7352500000	8427800000	8299200000	8893200000	Q9BUJ2-4	Heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRNPUL1
933700000	974050000	1190500000	823640000	822120000	703280000	936160000	958820000	971190000	Q9BUL8;C9J5C3;C9J363;C9J6F3;C9JSA3;C9JND6	Programmed cell death protein 10	PDCD10
255790000	238380000	232700000	250100000	292950000	272240000	257180000	237040000	241620000	Q9BUL9	Ribonuclease P protein subunit p25	RPP25
4912400000	4143300000	3920600000	4165200000	3953200000	4144100000	5.123e+09	5061900000	5560900000	Q9BUP3-3;Q9BUP3;E9PI87	Oxidoreductase HTATIP2	HTATIP2
4326400000	3721100000	4228500000	4125100000	4005200000	3946600000	4435900000	4343200000	4701900000	Q9BUQ8	Probable ATP-dependent RNA helicase DDX23	DDX23
106340000	167680000	190560000	188120000	202040000	199830000	229820000	183800000	212720000	Q9BUR4;E9PMR3	Telomerase Cajal body protein 1	WRAP53
136440000	260170000	160500000	363970000	168580000	409750000	302780000	300730000	286590000	Q9BUR5;C9J574;Q9BUR5-2	Apolipoprotein O	APOO
223890000	150130000	170600000	63196000	68626000	64979000	104980000	101300000	105490000	Q9BUT1;Q9BUT1-3;Q9BUT1-2	3-hydroxybutyrate dehydrogenase type 2	BDH2
121690000	131830000	236590000	223860000	224730000	211430000	180920000	112300000	170750000	Q9BUZ4;B4DUU9;Q2KJU3;Q9BUZ4-2	TNF receptor-associated factor 4	TRAF4
365840000	408800000	356130000	561460000	427090000	528990000	304610000	258630000	339730000	Q9BV19	Uncharacterized protein C1orf50	C1orf50
1161100000	948280000	1216400000	960510000	1207700000	1.111e+09	1103700000	1152600000	1079600000	Q9BV20;Q9BV20-2	Methylthioribose-1-phosphate isomerase	MRI1
132250000	118170000	129330000	151490000	243570000	190170000	135160000	210520000	166500000	Q9BV23;F5H7L1	Monoacylglycerol lipase ABHD6	ABHD6
2166800000	2448900000	2437700000	2585900000	2.709e+09	2831300000	2780700000	2662500000	2712300000	Q9BV38	WD repeat-containing protein 18	WDR18
633850000	665610000	1334500000	953290000	831880000	887410000	1092300000	825300000	798190000	Q9BV40;C9JXZ5;B8ZZT4	Vesicle-associated membrane protein 8	VAMP8
766640000	883700000	720560000	726130000	736040000	783950000	775350000	873330000	696280000	Q9BV44	THUMP domain-containing protein 3	THUMPD3
670210000	661540000	682920000	316760000	323360000	316590000	741110000	743880000	535050000	Q9BV57;Q9BV57-2	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	ADI1
163070000	111230000	141730000	201540000	123880000	177030000	163570000	205620000	137740000	Q9BV68;Q9BV68-2	E3 ubiquitin-protein ligase RNF126	RNF126
480510000	409630000	371050000	325660000	334210000	302440000	417930000	438860000	466510000	Q9BV79;Q9BV79-2	Trans-2-enoyl-CoA reductase, mitochondrial	MECR
2594900000	2708600000	1.724e+09	2064600000	1838300000	2195500000	1489800000	1897900000	1577600000	Q9BV86	N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed	NTMT1
485970000	246820000	219980000	319490000	273410000	290380000	285450000	205580000	168500000	Q9BVA1;Q13885;E7EX69;F5H8C9	Tubulin beta-2B chain;Tubulin beta-2A chain	TUBB2B;TUBB2A
85783000	57247000	87139000	49260000	44931000	46431000	66193000	89033000	55547000	Q9BVC4;Q9BVC4-3;Q9BVC4-4	Target of rapamycin complex subunit LST8	MLST8
